,date1,date2
114,1995-04-04 23:35:00,1995-04-13 02:15:00
115,1995-09-26 22:55:00,1995-09-29 15:05:00
116,1995-10-18 22:30:00,1995-10-19 18:20:00
117,1996-01-11 14:35:00,1996-01-17 00:25:00
118,1996-10-21 08:15:00,1996-10-26 18:05:00
119,1997-04-11 00:00:00,1997-04-11 14:05:00
120,1997-04-15 15:00:00,1997-04-20 09:20:00
121,1997-04-21 09:40:00,1997-04-23 03:15:00
122,1997-05-13 21:35:00,1997-05-18 16:10:00
123,1997-06-08 08:30:00,1997-06-10 23:05:00
124,1997-09-03 01:00:00,1997-09-05 17:35:00
125,1997-10-01 00:25:00,1997-10-02 23:20:00
126,1997-10-09 07:05:00,1997-10-14 18:40:00
127,1997-11-06 19:35:00,1997-11-07 19:55:00
128,1998-01-06 15:10:00,1998-01-08 03:00:00
129,1998-02-16 09:15:00,1998-02-21 07:55:00
130,1998-03-09 01:20:00,1998-03-14 11:30:00
131,1998-03-20 20:20:00,1998-03-23 04:30:00
132,1998-06-26 01:55:00,1998-06-26 10:20:00
133,1998-08-05 01:10:00,1998-08-09 10:30:00
134,1998-08-24 22:40:00,1998-09-01 05:45:00
135,1998-09-23 20:25:00,1998-09-28 03:50:00
136,1998-10-19 06:55:00,1998-10-20 08:20:00
137,1998-11-08 01:25:00,1998-11-08 16:15:00
138,1998-11-12 12:35:00,1998-11-16 12:55:00
139,1999-01-12 23:55:00,1999-01-15 23:05:00
140,1999-02-16 21:35:00,1999-02-21 09:45:00
141,1999-02-26 08:30:00,1999-03-06 11:05:00
142,1999-04-16 11:00:00,1999-04-18 14:50:00
143,1999-09-22 00:10:00,1999-09-24 21:50:00
144,2000-01-21 18:25:00,2000-01-25 20:05:00
145,2000-02-10 17:00:00,2000-02-16 00:50:00
146,2000-04-16 02:30:00,2000-04-17 04:05:00
147,2000-05-16 10:25:00,2000-05-18 19:50:00
148,2000-05-22 00:30:00,2000-05-28 10:20:00
149,2000-06-08 04:45:00,2000-06-09 23:20:00
150,2000-07-18 22:10:00,2000-07-23 09:15:00
151,2000-08-10 21:00:00,2000-08-12 00:50:00
152,2000-10-28 07:10:00,2000-10-30 17:35:00
153,2000-11-06 06:15:00,2000-11-08 03:40:00
154,2000-11-08 21:10:00,2000-11-13 19:15:00
155,2000-11-26 21:50:00,2000-11-27 09:00:00
156,2001-03-19 14:15:00,2001-03-22 11:25:00
157,2001-04-17 12:10:00,2001-04-19 17:45:00
158,2001-04-17 12:10:00,2001-04-19 17:45:00
159,2001-04-21 23:35:00,2001-04-23 23:45:00
160,2001-08-17 04:50:00,2001-08-19 06:15:00
161,2001-09-22 18:40:00,2001-09-25 20:05:00
162,2001-09-21 09:10:00,2001-10-05 09:30:00
163,2001-10-27 03:55:00,2001-10-31 02:15:00
164,2001-10-31 20:05:00,2001-11-02 15:30:00
165,2002-02-02 03:25:00,2002-02-02 20:00:00
166,2002-03-23 17:15:00,2002-03-25 15:05:00
167,2002-05-10 23:15:00,2002-05-13 13:20:00
168,2002-05-22 13:10:00,2002-05-26 01:20:00
169,2002-08-01 10:45:00,2002-08-03 17:10:00
170,2002-09-03 09:40:00,2002-09-05 20:50:00
171,2002-09-05 02:00:00,2002-09-13 19:55:00
172,2002-09-30 14:25:00,2002-10-03 09:35:00
173,2002-11-20 02:25:00,2002-11-24 01:45:00
174,2003-05-29 18:35:00,2003-05-30 16:40:00
